student_id,gender,ethnicity,city,district,program_start,program_status,programEnd,grad_date,feeder_id
18219,M,Unknown,,BELIZE,8/15/2016,Graduated,5/14/2018,5/14/2018,42
18247,F,Creole,,TOLEDO,8/13/2018,Graduated,5/20/2022,5/20/2022,13
18269,F,Unknown,Belmopan City,Cayo,8/15/2016,Terminated,,,56
18274,M,Unknown,Belmopan City,Cayo,8/14/2017,Terminated,,,66
18285,M,Unknown,Belmopan City,Cayo,8/15/2016,Graduated,12/12/2019,12/12/2019,72
18318,M,Unknown,,Cayo,8/15/2016,Graduated,7/22/2022,7/22/2022,27
18355,M,Unknown,BELIZE,BELIZE,8/15/2016,Terminated,,,53
18363,F,Unknown,,BELIZE,8/15/2016,Terminated,,,17
18365,M,Unknown,Belmopan City,Cayo,8/15/2016,Terminated,,,30
18385,M,Unknown,BELMOPAN,Cayo,8/14/2017,Graduated,5/16/2019,5/16/2019,30
18401,M,Unknown,Belmopan City,Cayo,8/15/2016,Terminated,,,30
18426,M,Unknown,,Cayo,8/15/2016,Dropped,,,27
18439,M,Unknown,,BELIZE,8/15/2016,Terminated,,,39
18473,M,Unknown,Belmopan City,Cayo,8/15/2016,Graduated,5/14/2018,5/14/2018,72
18501,M,Unknown,,TOLEDO,8/15/2016,Terminated,,,18
18505,M,East Indian,SAN IGNACIO TOWN,Cayo,8/15/2016,Graduated,5/16/2019,5/16/2019,27
18533,M,Creole,Belize City,BELIZE,8/15/2016,Terminated,,,20
18534,F,Unknown,BELMOPAN,Cayo,8/15/2016,Terminated,,,49
18548,M,Mestizo,,Cayo,8/15/2016,Terminated,,,27
18549,M,Unknown,Belmopan City,Cayo,1/16/2017,Dropped,,,13
18564,M,Unknown,,Cayo,8/15/2016,Graduated,5/16/2019,5/16/2019,38
18594,M,Unknown,Belize City,BELIZE,8/15/2016,Graduated,12/10/2018,12/10/2018,20
18620,F,Unknown,Belmopan City,Cayo,8/15/2016,Graduated,5/14/2018,5/14/2018,66
